corpus_textbook+sigir
200,0.0,0.0,0.0,0.0
500,0.0,0.0,0.0,0.0
1000,0.0,0.0,0.0,0.0
2000,0.0,0.0,0.0,0.0
3000,0.0217391304348,0.0354549946429,0.0463245598602,0.0463245598602
4000,0.0434782608696,0.0571941250776,0.0665566589488,0.0731007892893
5000,0.130434782609,0.194098395083,0.203460928954,0.21445198409
6000,0.228260869565,0.393794601279,0.436267488194,0.452041106595
7000,0.278985507246,0.522345072119,0.573342871129,0.610211873516
8000,0.278985507246,0.522345072119,0.573342871129,0.610211873516
9000,0.278985507246,0.522345072119,0.573342871129,0.610211873516
10000,0.278985507246,0.522345072119,0.573342871129,0.610211873516
