corpus_textbook+sigir_term_phrase
500,0.0,0.0,0.0,0.0
1000,0.0,0.0,0.0,0.0
2000,0.0,0.0,0.0,0.0
3000,0.0,0.0217391304348,0.0434782608696,0.0434782608696
4000,0.0434782608696,0.100672385947,0.111541951165,0.111541951165
5000,0.0217391304348,0.0926491197205,0.0926491197205,0.100392754223
6000,0.152173913043,0.173913043478,0.194145142567,0.224586385548
7000,0.184057971014,0.346158531072,0.37170777674,0.429692411416
8000,0.300724637681,0.496169379005,0.55867903302,0.609914397774
9000,0.300724637681,0.496169379005,0.55867903302,0.609914397774
10000,0.300724637681,0.496169379005,0.55867903302,0.609914397774
