corpus_textbook+sigir_phrased
200,0.0,0.0,0.0,0.0
500,0.0,0.0,0.0,0.0
1000,0.0,0.0,0.0,0.0
2000,0.0,0.0,0.0,0.0
3000,0.0,0.0,0.0202320990886,0.0202320990886
4000,0.0,0.0274317284162,0.0476638275047,0.0476638275047
5000,0.0217391304348,0.0571941250776,0.0882957893836,0.105115476655
6000,0.0434782608696,0.122411516382,0.122411516382,0.130155150884
7000,0.130434782609,0.165889777252,0.18612187634,0.204098002507
8000,0.152173913043,0.229553389726,0.251901645874,0.259645280376
9000,0.104347826087,0.214488256667,0.231747683079,0.306387530327
10000,0.339855072464,0.449996930025,0.497911948553,0.562866632946
