corpus_textbook+sigir_term_phrase
200,0.0,0.0,0.0,0.0
500,0.0,0.0,0.0,0.0
1000,0.0,0.0,0.0,0.0
2000,0.0,0.0,0.0,0.0
3000,0.0,0.0,0.0202320990886,0.0202320990886
4000,0.0,0.0274317284162,0.0383012936335,0.0467111372691
5000,0.0217391304348,0.0789332555124,0.110034919818,0.117778554321
6000,0.0434782608696,0.108695652174,0.108695652174,0.124351872621
7000,0.0869565217391,0.144150646817,0.162875714559,0.170122091371
8000,0.130434782609,0.231884057971,0.258913581055,0.269200479211
9000,0.104347826087,0.247459959819,0.247811173671,0.301640346321
10000,0.264492753623,0.412378380648,0.473511695849,0.517578141885
