corpus_textbook+sigir
200,0.0,0.0,0.0,0.0
500,0.0,0.0,0.0,0.0
1000,0.0,0.0,0.0,0.0
2000,0.0,0.0,0.0,0.0
3000,0.0,0.0354549946429,0.0354549946429,0.0438648382784
4000,0.0,0.0491708588509,0.0491708588509,0.0575807024865
5000,0.0434782608696,0.0789332555124,0.0789332555124,0.0927237626645
6000,0.108695652174,0.130434782609,0.13979731648,0.16369442912
7000,0.152173913043,0.243269253934,0.254138819151,0.256720030652
8000,0.115942028986,0.23060740838,0.269861246599,0.319626635766
9000,0.344202898551,0.563867984247,0.582816770213,0.627010891326
10000,0.344202898551,0.563867984247,0.582816770213,0.627010891326
