Round,Word_term-based@1,Word_phrase-replaced@1,Word_term-phrase-both@1,LDA_pure_textbook_all_200_pure@1,LDA_pure_textbook_all_200@1,LDA_textbook_sigir_citation-high_100_pure@1,LDA_textbook_sigir_citation-high_100@1,LDA_textbook_sigir_2009-2015_200_pure@1,LDA_textbook_sigir_2009-2015_200@1,LDA_textbook_sigir_2009-2015_100_pure@1,LDA_textbook_sigir_2009-2015_100@1,LDA_textbook_sigir_all_150_pure@1,LDA_textbook_sigir_all_150@1,LDA_textbook_sigir_1971-2001_100_pure@1,LDA_textbook_sigir_1971-2001_100@1,LDA_textbook_sigir_2002-2008_100_pure@1,LDA_textbook_sigir_2002-2008_100@1,LDA_textbook_sigir_all_200_pure@1,LDA_textbook_sigir_all_200@1,LDA_textbook_sigir_1971-2001_200_pure@1,LDA_textbook_sigir_1971-2001_200@1,LDA_textbook_sigir_citation-high_200_pure@1,LDA_textbook_sigir_citation-high_200@1,LDA_pure_textbook_two_150_pure@1,LDA_pure_textbook_two_150@1,LDA_textbook_sigir_all_100_pure@1,LDA_textbook_sigir_all_100@1,LDA_textbook_sigir_citation-medium_200_pure@1,LDA_textbook_sigir_citation-medium_200@1,LDA_textbook_sigir_citation-medium_150_pure@1,LDA_textbook_sigir_citation-medium_150@1,LDA_textbook_sigir_citation-low_150_pure@1,LDA_textbook_sigir_citation-low_150@1,LDA_textbook_sigir_2002-2008_150_pure@1,LDA_textbook_sigir_2002-2008_150@1,LDA_textbook_sigir_citation-high_150_pure@1,LDA_textbook_sigir_citation-high_150@1,LDA_pure_textbook_all_150_pure@1,LDA_pure_textbook_all_150@1,LDA_textbook_sigir_2009-2015_150_pure@1,LDA_textbook_sigir_2009-2015_150@1,LDA_textbook_sigir_2002-2008_200_pure@1,LDA_textbook_sigir_2002-2008_200@1,LDA_textbook_sigir_citation-low_100_pure@1,LDA_textbook_sigir_citation-low_100@1,LDA_pure_textbook_two_100_pure@1,LDA_pure_textbook_two_100@1,LDA_textbook_sigir_citation-medium_100_pure@1,LDA_textbook_sigir_citation-medium_100@1,LDA_pure_textbook_all_100_pure@1,LDA_pure_textbook_all_100@1,LDA_pure_textbook_two_200_pure@1,LDA_pure_textbook_two_200@1,LDA_textbook_sigir_1971-2001_150_pure@1,LDA_textbook_sigir_1971-2001_150@1,LDA_textbook_sigir_citation-low_200_pure@1,LDA_textbook_sigir_citation-low_200@1,Word_term-based@3,Word_phrase-replaced@3,Word_term-phrase-both@3,LDA_pure_textbook_all_200_pure@3,LDA_pure_textbook_all_200@3,LDA_textbook_sigir_citation-high_100_pure@3,LDA_textbook_sigir_citation-high_100@3,LDA_textbook_sigir_2009-2015_200_pure@3,LDA_textbook_sigir_2009-2015_200@3,LDA_textbook_sigir_2009-2015_100_pure@3,LDA_textbook_sigir_2009-2015_100@3,LDA_textbook_sigir_all_150_pure@3,LDA_textbook_sigir_all_150@3,LDA_textbook_sigir_1971-2001_100_pure@3,LDA_textbook_sigir_1971-2001_100@3,LDA_textbook_sigir_2002-2008_100_pure@3,LDA_textbook_sigir_2002-2008_100@3,LDA_textbook_sigir_all_200_pure@3,LDA_textbook_sigir_all_200@3,LDA_textbook_sigir_1971-2001_200_pure@3,LDA_textbook_sigir_1971-2001_200@3,LDA_textbook_sigir_citation-high_200_pure@3,LDA_textbook_sigir_citation-high_200@3,LDA_pure_textbook_two_150_pure@3,LDA_pure_textbook_two_150@3,LDA_textbook_sigir_all_100_pure@3,LDA_textbook_sigir_all_100@3,LDA_textbook_sigir_citation-medium_200_pure@3,LDA_textbook_sigir_citation-medium_200@3,LDA_textbook_sigir_citation-medium_150_pure@3,LDA_textbook_sigir_citation-medium_150@3,LDA_textbook_sigir_citation-low_150_pure@3,LDA_textbook_sigir_citation-low_150@3,LDA_textbook_sigir_2002-2008_150_pure@3,LDA_textbook_sigir_2002-2008_150@3,LDA_textbook_sigir_citation-high_150_pure@3,LDA_textbook_sigir_citation-high_150@3,LDA_pure_textbook_all_150_pure@3,LDA_pure_textbook_all_150@3,LDA_textbook_sigir_2009-2015_150_pure@3,LDA_textbook_sigir_2009-2015_150@3,LDA_textbook_sigir_2002-2008_200_pure@3,LDA_textbook_sigir_2002-2008_200@3,LDA_textbook_sigir_citation-low_100_pure@3,LDA_textbook_sigir_citation-low_100@3,LDA_pure_textbook_two_100_pure@3,LDA_pure_textbook_two_100@3,LDA_textbook_sigir_citation-medium_100_pure@3,LDA_textbook_sigir_citation-medium_100@3,LDA_pure_textbook_all_100_pure@3,LDA_pure_textbook_all_100@3,LDA_pure_textbook_two_200_pure@3,LDA_pure_textbook_two_200@3,LDA_textbook_sigir_1971-2001_150_pure@3,LDA_textbook_sigir_1971-2001_150@3,LDA_textbook_sigir_citation-low_200_pure@3,LDA_textbook_sigir_citation-low_200@3
0,0.4,0.48,0.5,0.38,0.48,0.48,0.48,0.58,0.4,0.58,0.58,0.18,0.48,0.48,0.58,0.48,0.48,0.38,0.48,0.68,0.5,0.48,0.48,0.58,0.5,0.38,0.53,0.38,0.48,0.58,0.5,0.58,0.48,0.28,0.48,0.33,0.53,0.48,0.58,0.48,0.58,0.38,0.5,0.5,0.4,0.28,0.4,0.48,0.58,0.28,0.53,0.58,0.48,0.5,0.6,0.58,0.4,0.503949817882,0.473338484861,0.50488497254,0.563092975357,0.576018753343,0.45,0.4,0.5,0.503949817882,0.6,0.663092975357,0.519639463036,0.472403330203,0.507565241022,0.522403330203,0.65,0.511990623328,0.561990623328,0.472403330203,0.55,0.625,0.563716411796,0.461990623328,0.45,0.528866219196,0.487697658452,0.451414070248,0.463092975357,0.55,0.7,0.65,0.581546487679,0.597319731518,0.426185950714,0.5,0.6,0.495323956662,0.6,0.613092975357,0.488009376672,0.509310354846,0.6,0.440856842525,0.45,0.6141117287,0.443187871689,0.488176574043,0.643187871689,0.519206625033,0.3,0.638092975357,0.5,0.563092975357,0.481546487679,0.426018753343,0.625083598686,0.609310354846
1,0.4,0.48,0.4,0.38,0.38,0.48,0.48,0.28,0.28,0.38,0.48,0.18,0.38,0.38,0.48,0.28,0.38,0.28,0.28,0.28,0.28,0.38,0.38,0.28,0.4,0.18,0.38,0.28,0.48,0.38,0.28,0.28,0.28,0.28,0.38,0.28,0.28,0.18,0.18,0.18,0.28,0.18,0.28,0.3,0.6,0.28,0.3,0.28,0.38,0.18,0.48,0.28,0.28,0.3,0.4,0.18,0.18,0.522992690172,0.676018753343,0.569338999985,0.475237190143,0.537020820186,0.545032369681,0.537020820186,0.27015151419,0.561002066843,0.65,0.613092975357,0.45,0.559899714814,0.326018753343,0.501961698386,0.595032369681,0.626566381481,0.361990623328,0.522992690172,0.25,0.503064050415,0.29268542001,0.526566381481,0.381546487679,0.539971075057,0.35,0.582431975343,0.331546487679,0.6240950422,0.401102352029,0.614575758153,0.451698001869,0.561002066843,0.363092975357,0.623092975357,0.57015151419,0.559899714814,0.45,0.51,0.301102352029,0.559899714814,0.313092975357,0.501961698386,0.5,0.723927844829,0.413092975357,0.559899714814,0.661699036348,0.622912691295,0.295032369681,0.539971075057,0.45,0.597909091486,0.463092975357,0.5491117287,0.574157288937,0.522992690172
2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.3,0.0,0.1,0.0,0.2,0.1,0.2,0.266666666667,0.366666666667,0.166666666667,0.2,0.1,0.3,0.1,0.2,0.3,0.35,0.3,0.2,0.2,0.2,0.266666666667,0.2,0.0,0.2,0.25,0.25,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.0,0.1,0.166666666667,0.266666666667,0.3,0.35,0.1,0.1,0.2,0.3,0.266666666667,0.2,0.362294223812,0.334753068574,0.327541155238,0.363092975357,0.378965222973,0.218175285832,0.362294223812,0.33293809569,0.4514520006,0.427541155238,0.517376534287,0.2,0.327541155238,0.163092975357,0.39642630869,0.418175285832,0.596394043332,0.24,0.455082310475,0.329759642024,0.464553093693,0.270321124165,0.368852888094,0.1,0.362294223812,0.270719273567,0.444917689525,0.496031071047,0.52633595974,0.263092975357,0.40961395533,0.431147111906,0.448644795477,0.237855785214,0.388828989811,0.48555182012,0.52609706679,0.2,0.462342724642,0.3,0.403605956668,0.263092975357,0.407536748035,0.385237190143,0.566698932025,0.0,0.362294223812,0.458010664882,0.368852888094,0.268852888094,0.531147111906,0.163092975357,0.359519284048,0.363092975357,0.441311732856,0.426064801431,0.520982490955
3,0.222222222222,0.222222222222,0.333333333333,0.444444444444,0.444444444444,0.222222222222,0.333333333333,0.222222222222,0.222222222222,0.333333333333,0.333333333333,0.111111111111,0.333333333333,0.222222222222,0.333333333333,0.222222222222,0.333333333333,0.407407407407,0.296296296296,0.407407407407,0.333333333333,0.333333333333,0.555555555556,0.333333333333,0.333333333333,0.444444444444,0.444444444444,0.222222222222,0.333333333333,0.222222222222,0.333333333333,0.407407407407,0.333333333333,0.111111111111,0.333333333333,0.333333333333,0.444444444444,0.333333333333,0.555555555556,0.444444444444,0.333333333333,0.333333333333,0.444444444444,0.111111111111,0.333333333333,0.222222222222,0.222222222222,0.296296296296,0.407407407407,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.555555555556,0.555555555556,0.296296296296,0.222222222222,0.365174766661,0.330055272365,0.380761577789,0.625658861508,0.518337557545,0.333333333333,0.380761577789,0.53095087246,0.398542519048,0.444444444444,0.514547750397,0.444444444444,0.365174766661,0.195576392604,0.365174766661,0.363934616931,0.589826123803,0.446656248143,0.465879356211,0.584651056349,0.506471603838,0.57970577157,0.448113729094,0.444444444444,0.407407407407,0.472315109651,0.572367202271,0.601054178413,0.556609733968,0.514547750397,0.459984886872,0.632058764549,0.523412638756,0.51560192881,0.53273680045,0.47829945516,0.49401565449,0.514547750397,0.49034636984,0.37556597408,0.411076692057,0.514547750397,0.415444238021,0.428041322381,0.426663503185,0.222222222222,0.365174766661,0.462165201456,0.515240457551,0.409836542327,0.632058764549,0.444444444444,0.444444444444,0.555555555556,0.519256095777,0.572885088885,0.500487258329
4,0.383333333333,0.283333333333,0.383333333333,0.383333333333,0.483333333333,0.4,0.583333333333,0.383333333333,0.383333333333,0.3,0.483333333333,0.1,0.483333333333,0.283333333333,0.383333333333,0.383333333333,0.383333333333,0.3,0.583333333333,0.4,0.383333333333,0.3,0.483333333333,0.4,0.483333333333,0.4,0.383333333333,0.3,0.483333333333,0.5,0.483333333333,0.483333333333,0.383333333333,0.1,0.283333333333,0.233333333333,0.383333333333,0.583333333333,0.666666666667,0.483333333333,0.383333333333,0.3,0.383333333333,0.283333333333,0.383333333333,0.2,0.283333333333,0.4,0.283333333333,0.3,0.633333333333,0.4,0.383333333333,0.283333333333,0.383333333333,0.5,0.383333333333,0.605047651362,0.513092975357,0.621138299352,0.646086151752,0.722584988069,0.5,0.585677963426,0.513092975357,0.615777762388,0.45,0.646086151752,0.394639463036,0.610408188326,0.35,0.615777762388,0.470816376652,0.722584988069,0.4,0.63807262734,0.540757414371,0.710408188326,0.463883609167,0.610408188326,0.35,0.58423127471,0.516666666667,0.625395316905,0.539591811674,0.689591811674,0.563092975357,0.622584988069,0.482993176395,0.685677963426,0.402371901429,0.610408188326,0.594408559723,0.64374152166,0.782993176395,0.722584988069,0.678678625162,0.573501163683,0.446086151752,0.510408188326,0.4,0.652684787031,0.35,0.621138299352,0.7,0.670816376652,0.332993176395,0.722584988069,0.55,0.573501163683,0.431546487679,0.589591811674,0.589591811674,0.689591811674
5,0.2,0.18,0.2,0.18,0.18,0.08,0.28,0.08,0.18,0.28,0.38,0.18,0.38,0.08,0.18,0.08,0.18,0.28,0.38,0.18,0.28,0.08,0.38,0.28,0.2,0.18,0.18,0.08,0.18,0.28,0.2,0.28,0.2,0.08,0.18,0.28,0.2,0.18,0.28,0.18,0.28,0.08,0.2,0.2,0.3,0.18,0.2,0.18,0.28,0.28,0.38,0.18,0.28,0.4,0.4,0.28,0.18,0.6,0.463092975357,0.6,0.263092975357,0.463092975357,0.363092975357,0.5,0.3,0.5,0.4,0.563092975357,0.363092975357,0.5,0.1,0.526185950714,0.3,0.563092975357,0.363092975357,0.626185950714,0.263092975357,0.526185950714,0.389278926071,0.5,0.3,0.4,0.3,0.563092975357,0.3,0.589278926071,0.463092975357,0.4,0.5,0.526185950714,0.363092975357,0.589278926071,0.363092975357,0.5,0.363092975357,0.5,0.2,0.463092975357,0.226185950714,0.5,0.3,0.5,0.2,0.563092975357,0.4,0.4,0.4,0.663092975357,0.5,0.5,0.4,0.5,0.4,0.4
6,0.3,0.333333333333,0.3,0.3,0.4,0.3,0.3,0.2,0.3,0.3,0.4,0.1,0.3,0.2,0.3,0.1,0.3,0.266666666667,0.466666666667,0.266666666667,0.3,0.3,0.5,0.133333333333,0.3,0.2,0.4,0.1,0.3,0.3,0.3,0.166666666667,0.3,0.1,0.3,0.3,0.4,0.1,0.1,0.2,0.3,0.2,0.3,0.2,0.4,0.1,0.2,0.266666666667,0.366666666667,0.3,0.4,0.2,0.2,0.4,0.5,0.366666666667,0.4,0.613878788648,0.547123278195,0.657984848581,0.4240950422,0.577673066004,0.34424655639,0.561002066843,0.207704271024,0.634049650012,0.434030302838,0.413878788648,0.261002066843,0.607984848581,0.103277169691,0.5240950422,0.275450246724,0.414608023511,0.351002066843,0.635526003819,0.197909091486,0.550159843631,0.243625532556,0.543625532556,0.234030302838,0.576971764005,0.359899714814,0.673927844829,0.220404339736,0.561950827415,0.247909091486,0.311002066843,0.271435602027,0.598075404244,0.248857852057,0.664279236534,0.433746679335,0.491471576487,0.303277169691,0.649296581437,0.316370145048,0.597909091486,0.261002066843,0.659121312871,0.333146281629,0.689220824342,0.097909091486,0.613878788648,0.474766175335,0.508796478173,0.21676197958,0.682731676742,0.361002066843,0.561002066843,0.511002066843,0.699296581437,0.356883126359,0.65659735863
7,0.222222222222,0.222222222222,0.222222222222,0.222222222222,0.222222222222,0.111111111111,0.222222222222,0.222222222222,0.222222222222,0.222222222222,0.222222222222,0.111111111111,0.222222222222,0.111111111111,0.111111111111,0.111111111111,0.222222222222,0.407407407407,0.296296296296,0.185185185185,0.222222222222,0.333333333333,0.333333333333,0.111111111111,0.111111111111,0.111111111111,0.333333333333,0.222222222222,0.222222222222,0.111111111111,0.222222222222,0.407407407407,0.222222222222,0.0,0.222222222222,0.111111111111,0.222222222222,0.111111111111,0.111111111111,0.333333333333,0.333333333333,0.222222222222,0.333333333333,0.111111111111,0.222222222222,0.0,0.111111111111,0.185185185185,0.185185185185,0.222222222222,0.444444444444,0.0,0.111111111111,0.222222222222,0.222222222222,0.296296296296,0.222222222222,0.222222222222,0.222222222222,0.222222222222,0.362428834127,0.322761164941,0.222222222222,0.222222222222,0.419839761349,0.251183112701,0.444444444444,0.222222222222,0.222222222222,0.222222222222,0.222222222222,0.222222222222,0.475045728042,0.409836542327,0.377777777778,0.322926811772,0.403436639286,0.321286418653,0.425137184125,0.268124147618,0.222222222222,0.222222222222,0.250092887428,0.376790809667,0.489943067302,0.334387511746,0.403436639286,0.274799701687,0.520947653438,0.338227453571,0.264284205794,0.351522383387,0.437291650002,0.314026073014,0.292325528175,0.268124147618,0.333333333333,0.268124147618,0.473539945238,0.272491693582,0.205819100159,0.268124147618,0.181214417063,0.222222222222,0.620011849869,0.333333333333,0.409836542327,0.409836542327,0.362428834127,0.222222222222,0.362428834127,0.282671898015,0.392895507409,0.35753471389
8,0.1,0.1,0.1,0.383333333333,0.383333333333,0.3,0.3,0.3,0.1,0.3,0.4,0.0,0.3,0.2,0.1,0.3,0.2,0.3,0.1,0.3,0.1,0.2,0.1,0.3,0.2,0.3,0.1,0.2,0.2,0.4,0.2,0.383333333333,0.2,0.1,0.2,0.35,0.1,0.383333333333,0.383333333333,0.4,0.1,0.2,0.1,0.3,0.3,0.0,0.1,0.3,0.1,0.4,0.35,0.1,0.1,0.2,0.3,0.4,0.2,0.604248899817,0.384753068574,0.54867945459,0.446086151752,0.470690834847,0.418175285832,0.484879211881,0.405082310475,0.5780719862,0.477541155238,0.500369710682,0.294639463036,0.437949343564,0.25,0.508312985316,0.39835753189,0.550126143306,0.363092975357,0.565613782578,0.44433110568,0.585803505231,0.363883609167,0.437949343564,0.25,0.327784722613,0.358728650238,0.487689540717,0.394674122149,0.614979010843,0.463092975357,0.484879211881,0.545287400207,0.550126143306,0.413092975357,0.509052983803,0.53807548687,0.506035745471,0.482993176395,0.543615979854,0.378678625162,0.550126143306,0.346086151752,0.437949343564,0.4,0.514979010843,0.05,0.546525498521,0.6,0.49835753189,0.432993176395,0.647972187238,0.35,0.506834497017,0.231546487679,0.439591811674,0.562050656436,0.651886035486
9,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.4,0.1,0.4,0.1,0.2,0.1,0.3,0.2,0.3,0.0,0.1,0.2,0.4,0.1,0.2,0.1,0.3,0.2,0.3,0.2,0.3,0.2,0.2,0.0,0.3,0.2,0.3,0.2,0.3,0.2,0.4,0.1,0.3,0.3,0.4,0.0,0.1,0.2,0.2,0.2,0.3,0.1,0.2,0.3,0.3,0.2,0.2,0.528960890479,0.45578406036,0.494207821904,0.626185950714,0.662294223812,0.418175285832,0.462294223812,0.255082310475,0.455082310475,0.490634130595,0.580469509644,0.463092975357,0.528960890479,0.2,0.5,0.427541155238,0.527541155238,0.263092975357,0.494207821904,0.292852617381,0.542061983571,0.363092975357,0.527541155238,0.3,0.427541155238,0.305154958929,0.562294223812,0.418175285832,0.562294223812,0.463092975357,0.494207821904,0.562294223812,0.528960890479,0.463092975357,0.528960890479,0.486628798154,0.562294223812,0.4,0.521030991786,0.4,0.527541155238,0.426185950714,0.528960890479,0.4,0.528960890479,0.163092975357,0.528960890479,0.584123967143,0.51523881369,0.363092975357,0.562294223812,0.563092975357,0.533333333333,0.363092975357,0.513092975357,0.472458844762,0.528960890479
